rc_11,rc_14,rc_15,rc_26,rc_37,profit
0.263,0.431,0.493,0.591,0.77,25.670943280910574
0.56,0.646,0.504,0.58,0.243,20.47859143474725
0.353,0.417,0.483,0.227,0.284,17.28003333976486
0.366,0.783,0.399,0.489,0.318,25.120514193475117
0.566,0.368,0.324,0.51,0.203,15.564943305829173
0.205,0.331,0.222,0.265,0.403,15.313236376642822
0.682,0.543,0.508,0.376,0.759,25.990367085986954
0.438,0.252,0.57,0.268,0.407,16.325591753460362
0.504,0.725,0.496,0.621,0.796,35.272766387270096
0.279,0.365,0.437,0.453,0.447,22.299929319379515
0.745,0.628,0.565,0.386,0.694,28.4728371576112
0.773,0.693,0.201,0.582,0.231,17.438865740302443
0.355,0.236,0.562,0.612,0.269,14.437379913847593
0.43,0.474,0.421,0.273,0.451,19.433215546431107
0.651,0.243,0.248,0.413,0.765,16.086875542652404
0.601,0.607,0.417,0.556,0.206,21.450326365825543
0.582,0.748,0.568,0.724,0.634,36.854078132433486
0.272,0.741,0.24,0.52,0.285,17.23097584580068
0.207,0.453,0.377,0.492,0.546,22.36089581900732
0.226,0.274,0.535,0.406,0.638,17.13412206920365
0.591,0.707,0.615,0.458,0.604,32.433107065518605
0.365,0.384,0.673,0.468,0.679,24.21956009925211
0.693,0.715,0.75,0.459,0.391,31.302265735595192
0.549,0.423,0.561,0.623,0.613,27.31536339674939
0.425,0.3,0.458,0.286,0.734,18.060537503607733
0.408,0.293,0.215,0.587,0.582,17.503169174589853
0.404,0.243,0.446,0.387,0.606,16.904136223699876
0.563,0.419,0.331,0.793,0.472,22.910634683686137
0.613,0.284,0.491,0.217,0.503,14.226226746999163
0.778,0.431,0.223,0.219,0.433,15.629199348225175
0.296,0.214,0.654,0.475,0.374,14.664999749196962
0.74,0.27,0.774,0.388,0.733,20.280619684311556
0.562,0.696,0.79,0.373,0.777,26.908970295005844
0.434,0.431,0.404,0.525,0.292,21.29197335562342
0.532,0.525,0.657,0.7,0.464,29.744821322163222
0.381,0.356,0.317,0.235,0.405,16.18447052366729
0.362,0.78,0.535,0.408,0.548,31.09336749991607
0.284,0.466,0.576,0.493,0.441,24.359472623453588
0.796,0.728,0.574,0.542,0.572,35.0030637878647
